combined_title,release_year,release_date,is_top10,title,season,is_tv_show,tconst,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,_merge
DOTA: Dragon's Blood: Book 1,2021,20210325,True,dota: dragon's blood: book 1,,False,,,,,,,,,left_only
DOTA: Dragon's Blood: Book 2,2022,20220118,True,dota: dragon's blood: book 2,,False,,,,,,,,,left_only
DOTA: Dragon's Blood: Book 3,2022,20220811,True,dota: dragon's blood: book 3,,False,,,,,,,,,left_only
Dance of the Forty One,2021,20210512,True,dance of the forty one,,False,,,,,,,,,left_only
Dating Around: Season 2,2020,20200612,False,dating around,2,True,,,,,,,,,left_only
Dave Chappelle: What’s in a Name?,2022,20220707,False,dave chappelle: what’s in a name?,,False,,,,,,,,,left_only
Deadwind: Season 2,2020,20200701,True,deadwind,2,True,,,,,,,,,left_only
Deadwind: Season 3,2021,20211029,True,deadwind,3,True,,,,,,,,,left_only
Dear White People: Volume 4,2021,20210922,True,dear white people: volume 4,,False,,,,,,,,,left_only
Delhi Crime: Season 2,2022,20220826,True,delhi crime,2,True,,,,,,,,,left_only
Detective Conan: Zero’s Tea Time: Season 1,2022,20220405,False,detective conan: zero’s tea time,1,True,,,,,,,,,left_only
Devil in Ohio: Limited Series,2022,20220902,False,devil in ohio: limited series,,False,,,,,,,,,left_only
"Devotion, a Story of Love and Desire: Season 1",2022,20220214,True,"devotion, a story of love and desire",1,True,,,,,,,,,left_only
Diablero: Season 2,2020,20200131,True,diablero,2,True,,,,,,,,,left_only
Diana: The Musical,2021,20211001,False,diana: the musical,,False,,,,,,,,,left_only
Dig Deeper: The Disappearance of Birgit Meier: Limited Series,2021,20211126,True,dig deeper: the disappearance of birgit meier: limited series,,False,,,,,,,,,left_only
Dino Girl Gauko: Season 2,2020,20200320,False,dino girl gauko,2,True,,,,,,,,,left_only
Dirty John: Betty Broderick,2020,20200602,True,dirty john: betty broderick,,False,,,,,,,,,left_only
Disenchantment: Part 3,2021,20210115,True,disenchantment: part 3,,False,,,,,,,,,left_only
Disenchantment: Part 4,2022,20220209,True,disenchantment: part 4,,False,,,,,,,,,left_only
